rr_ratio,buffer_pips,min_body_ratio,max_bars_in_trade,total_trades,winning_trades,losing_trades,win_rate,profit_factor,sharpe_ratio,sortino_ratio,max_drawdown,total_return,avg_win,avg_loss,expectancy,tp_count,sl_count,breakeven_count,timeout_count,score_ftmo
1.2,0.04,0.4,30,15,7,8,0.4666666666666667,1.044,0.386,21166000.286,0.0248,0.0018,59.79,50.1,1.18,7,4,0,4,10.831333333333333
1.4,0.04,0.45,30,14,6,8,0.42857142857142855,1.044,0.382,22677859.977,0.0296,0.0018,69.82,50.17,1.25,6,3,0,5,9.361571428571429
1.4,0.04,0.5,30,14,6,8,0.42857142857142855,1.044,0.382,22677859.977,0.0296,0.0018,69.82,50.17,1.25,6,3,0,5,9.361571428571429
1.4,0.03,0.4,36,19,8,11,0.42105263157894735,1.012,0.141,8355002.426,0.0296,0.0007,69.52,49.95,0.35,8,8,0,3,8.35742105263158
1.3,0.04,0.45,30,14,6,8,0.42857142857142855,0.969,-0.199,-11338928.103,0.0296,-0.0012,64.75,50.1,-0.88,6,3,0,5,-2.90342857142857
1.3,0.04,0.5,30,14,6,8,0.42857142857142855,0.969,-0.199,-11338928.103,0.0296,-0.0012,64.75,50.1,-0.88,6,3,0,5,-2.90342857142857
1.3,0.03,0.4,36,19,8,11,0.42105263157894735,0.94,-0.441,-25065000.533,0.0296,-0.0033,64.44,49.87,-1.74,8,8,0,3,-3.9515789473684215
1.4,0.03,0.45,30,15,6,9,0.4,0.928,-0.54,-31749004.575,0.0296,-0.0033,69.47,49.93,-2.17,6,4,0,5,-4.479000000000001
1.4,0.03,0.5,30,15,6,9,0.4,0.928,-0.54,-31749004.575,0.0296,-0.0033,69.47,49.93,-2.17,6,4,0,5,-4.479000000000001
1.4,0.04,0.4,30,15,6,9,0.4,0.928,-0.54,-31749004.607,0.0345,-0.0033,69.65,50.05,-2.17,6,4,0,5,-5.704000000000001
1.2,0.03,0.4,36,19,8,11,0.42105263157894735,0.868,-1.077,-58485000.59,0.0296,-0.0073,59.38,49.78,-3.82,8,8,0,3,-6.255578947368422
1.4,0.02,0.45,36,16,6,10,0.375,0.835,-1.366,-79372500.042,0.0248,-0.0082,69.47,49.92,-5.15,6,8,0,2,-6.575
1.4,0.02,0.5,36,16,6,10,0.375,0.835,-1.366,-79372500.042,0.0248,-0.0082,69.47,49.92,-5.15,6,8,0,2,-6.575
1.3,0.04,0.4,30,15,6,9,0.4,0.862,-1.127,-63497994.205,0.0345,-0.0062,64.59,49.97,-4.15,6,4,0,5,-7.776
1.3,0.02,0.45,30,16,6,10,0.375,0.776,-1.96,-109137190.724,0.0248,-0.0112,64.43,49.85,-6.99,6,8,0,2,-8.502999999999998
1.3,0.02,0.45,36,16,6,10,0.375,0.776,-1.96,-109137190.724,0.0248,-0.0112,64.43,49.85,-6.99,6,8,0,2,-8.502999999999998
1.3,0.02,0.5,30,16,6,10,0.375,0.776,-1.96,-109137190.724,0.0248,-0.0112,64.43,49.85,-6.99,6,8,0,2,-8.502999999999998
1.3,0.02,0.5,36,16,6,10,0.375,0.776,-1.96,-109137190.724,0.0248,-0.0112,64.43,49.85,-6.99,6,8,0,2,-8.502999999999998
1.4,0.04,0.45,24,14,5,9,0.35714285714285715,0.774,-1.972,-113389292.331,0.0296,-0.0102,69.72,50.05,-7.27,5,3,0,6,-9.909857142857142
1.4,0.04,0.5,24,14,5,9,0.35714285714285715,0.774,-1.972,-113389292.331,0.0296,-0.0102,69.72,50.05,-7.27,5,3,0,6,-9.909857142857142
1.2,0.02,0.45,30,16,6,10,0.375,0.716,-2.608,-138901896.109,0.0248,-0.0141,59.4,49.77,-8.83,6,8,0,2,-10.433000000000002
1.2,0.02,0.45,36,16,6,10,0.375,0.716,-2.608,-138901896.109,0.0248,-0.0141,59.4,49.77,-8.83,6,8,0,2,-10.433000000000002
1.2,0.02,0.5,30,16,6,10,0.375,0.716,-2.608,-138901896.109,0.0248,-0.0141,59.4,49.77,-8.83,6,8,0,2,-10.433000000000002
1.2,0.02,0.5,36,16,6,10,0.375,0.716,-2.608,-138901896.109,0.0248,-0.0141,59.4,49.77,-8.83,6,8,0,2,-10.433000000000002
1.3,0.04,0.45,24,14,5,9,0.35714285714285715,0.719,-2.572,-141736597.444,0.0296,-0.0126,64.67,49.97,-9.03,5,3,0,6,-11.689857142857143
1.3,0.04,0.5,24,14,5,9,0.35714285714285715,0.719,-2.572,-141736597.444,0.0296,-0.0126,64.67,49.97,-9.03,5,3,0,6,-11.689857142857143
1.3,0.03,0.4,30,19,7,12,0.3684210526315789,0.753,-2.184,-121147506.592,0.0345,-0.0147,63.9,49.52,-7.73,7,8,0,4,-11.97663157894737
1.4,0.03,0.45,24,15,5,10,0.3333333333333333,0.696,-2.806,-158745024.713,0.0296,-0.0151,69.37,49.82,-10.09,5,4,0,6,-12.936333333333334
1.4,0.03,0.5,24,15,5,10,0.3333333333333333,0.696,-2.806,-158745024.713,0.0296,-0.0151,69.37,49.82,-10.09,5,4,0,6,-12.936333333333334
1.2,0.04,0.45,24,14,5,9,0.35714285714285715,0.664,-3.227,-170083942.946,0.0296,-0.0151,59.64,49.9,-10.78,5,3,0,6,-13.474857142857143
