mode,session_start,session_end,adx_min,adx_max,rr_ratio,atr_sl_mult,trades,win_rate,profit_factor,sharpe,sortino,max_dd_pct,total_return_pct,avg_win,avg_loss,expectancy
SELL_ONLY,8,14,30,40,1.6,1.0,26,38.46,0.994,0.0,1.66,3.65,-0.05,80.35,50.54,-0.2
SELL_ONLY,8,14,28,40,1.6,1.4,30,40.0,0.988,-0.045,-823.525,2.88,-0.11,73.98,49.93,-0.37
SELL_ONLY,8,14,32,38,1.4,1.2,15,40.0,0.928,-0.54,-12714.226,1.71,-0.33,69.7,50.08,-2.17
SELL_ONLY,8,14,32,40,1.6,1.0,19,36.84,0.928,-0.533,-11234.017,3.65,-0.44,80.37,50.52,-2.3
SELL_ONLY,8,14,32,40,1.6,1.4,19,36.84,0.927,-0.533,-12188.49,1.99,-0.44,79.68,50.12,-2.3
SELL_ONLY,8,14,32,40,1.6,1.2,19,36.84,0.927,-0.533,-13157.417,2.1,-0.44,79.4,49.95,-2.3
SELL_ONLY,8,14,30,40,1.6,1.4,26,38.46,0.912,-0.651,-16108.343,2.99,-0.7,72.75,49.85,-2.69
SELL_ONLY,8,14,28,42,1.6,1.0,33,36.36,0.909,-0.692,-14087.898,4.13,-0.96,79.93,50.25,-2.91
SELL_ONLY,8,14,28,42,1.6,1.4,33,36.36,0.846,-1.227,-23503.047,4.15,-1.6,73.33,49.53,-4.85
SELL_ONLY,8,14,30,42,1.6,1.0,29,34.48,0.838,-1.329,-27486.058,4.13,-1.54,79.75,50.1,-5.32
SELL_ONLY,8,14,32,42,1.2,1.4,22,40.91,0.827,-1.468,-31820.293,1.91,-1.13,59.67,49.97,-5.12
SELL_ONLY,8,14,32,42,1.4,1.2,22,36.36,0.796,-1.75,-40991.005,2.58,-1.43,69.43,49.87,-6.49
SELL_ONLY,8,14,32,42,1.4,1.4,22,36.36,0.795,-1.75,-44432.584,2.5,-1.43,69.22,49.74,-6.49
SELL_ONLY,8,14,30,42,1.6,1.4,29,34.48,0.768,-1.971,-42793.546,4.44,-2.18,72.14,49.45,-7.52
SELL_ONLY,8,14,32,42,1.6,1.0,22,31.82,0.744,-2.264,-45272.346,4.61,-1.92,79.86,50.08,-8.74
SELL_ONLY,8,14,32,42,1.6,1.4,22,31.82,0.742,-2.264,-50771.521,3.27,-1.92,79.11,49.74,-8.74
SELL_ONLY,8,14,32,42,1.6,1.2,22,31.82,0.741,-2.264,-45446.338,3.27,-1.92,78.77,49.58,-8.74
