trade_id,trade_date,entry_hour,side,entry_time,exit_time,entry,exit,sl,tp,risk_distance,bars_in_trade,max_hold_used,pnl,r_multiple,exit_reason,be_activated,mfe_r,mae_r,best_r,worst_r,orb_high,orb_low,atr_at_entry,adx_h1_at_entry,balance_after
11,2025-05-14,15,SELL,2025-05-14 15:00:00,2025-05-14 15:45:00,3220.09,3198.385800544822,3234.559466303452,3198.385800544822,14.469466303452009,10,24,75.84552281076799,1.5,tp,True,2.1252,0.161,2.1252,0.161,3234.25,3221.48,3.0946630345201793,26.835406982340004,10188.581897579727
12,2025-06-17,9,SELL,2025-06-17 09:35:00,2025-06-17 10:35:00,3386.83,3384.58,3396.4475876955007,3372.4036184567485,9.617587695500788,13,12,11.917910184629054,0.2339,timeout,False,0.5937,0.4388,0.5937,0.4388,3396.19,3386.96,2.575876955008528,24.535054889373512,10200.499807764356
13,2025-06-20,9,SELL,2025-06-20 09:45:00,2025-06-20 10:45:00,3340.81,3346.38,3357.9173243051405,3315.149013542289,17.107324305140537,13,12,-16.605982009757188,-0.3256,timeout,False,0.007,0.8464,0.007,0.8464,3357.62,3342.61,2.9732430514041384,26.371358672191327,10183.893825754598
14,2025-06-27,9,SELL,2025-06-27 09:40:00,2025-06-27 10:40:00,3287.47,3287.36,3301.2510695387,3266.7983956919497,13.781069538700194,13,12,0.40643736601278674,0.008,timeout,False,0.2866,0.6052,0.2866,0.6052,3300.9,3289.16,3.510695386999298,28.0559959152098,10184.30026312061
15,2025-07-07,15,SELL,2025-07-07 15:30:00,2025-07-07 16:00:00,3302.47,3310.1,3315.4129692847223,3283.055546072916,12.942969284722494,7,24,-30.01869559380533,-0.5895,timeout,False,0.0286,0.7865,0.0286,0.7865,3315.08,3305.11,3.3296928472214375,37.75407646689033,10154.281567526805
16,2025-07-09,9,SELL,2025-07-09 09:15:00,2025-07-09 10:15:00,3287.89,3293.52,3297.8895441933955,3272.8906837099066,9.99954419339565,13,12,-28.58560556336902,-0.563,timeout,False,0.234,0.623,0.234,0.623,3297.65,3288.93,2.395441933953681,31.08777548321757,10125.695961963436
17,2025-07-24,9,SELL,2025-07-24 09:30:00,2025-07-24 10:30:00,3371.81,3377.16,3385.5208383965664,3351.2437424051504,13.710838396566487,13,12,-19.755346766420026,-0.3902,timeout,False,0.1408,0.415,0.1408,0.415,3385.27,3374.38,2.5083839656663525,43.73813637405093,10105.940615197016
18,2025-08-12,9,SELL,2025-08-12 09:50:00,2025-08-12 10:35:00,3347.13,3355.8958370614096,3355.8958370614096,3333.981244407886,8.765837061409457,10,12,-50.52970307598508,-1.0,sl,False,0.4073,1.2469,0.4073,1.2469,3355.63,3348.48,2.6583706140941143,32.49277601040719,10055.410912121031
19,2025-10-28,9,SELL,2025-10-28 09:10:00,2025-10-28 10:10:00,3956.94,3946.39,3994.7381934611485,3900.242709808277,37.79819346114846,13,12,14.03302319619053,0.2791,timeout,False,0.5453,0.0799,0.5453,0.0799,3994.1,3959.29,6.381934611486673,38.22938958295705,10069.443935317222
20,2025-11-18,9,SELL,2025-11-18 09:25:00,2025-11-18 10:10:00,4003.67,4025.5663238670218,4025.5663238670218,3970.8255141994678,21.896323867021692,10,12,-50.347219676586114,-1.0,sl,False,0.2594,1.055,0.2594,1.055,4025.11,4007.61,4.563238670215615,51.374944126044994,10019.096715640635
21,2026-02-05,15,SELL,2026-02-05 15:05:00,2026-02-05 16:00:00,4822.57,4825.63,4935.79711245591,4652.729331316134,113.22711245591017,12,24,-1.353846940228319,-0.027,timeout,False,0.1826,0.3999,0.1826,0.3999,4933.94,4826.62,18.571124559106803,35.344057047216396,10017.742868700407
22,2026-03-06,15,SELL,2026-03-06 15:55:00,2026-03-06 16:00:00,5101.88,5088.88,5130.971307026552,5058.243039460172,29.091307026551476,2,24,22.38308804314713,0.4469,timeout,False,0.9673,0.021,0.9673,0.021,5129.82,5108.97,11.513070265519302,28.018389121923033,10040.125956743554
23,2026-03-13,9,SELL,2026-03-13 09:25:00,2026-03-13 10:25:00,5096.22,5084.65,5118.174611978305,5063.288082032544,21.954611978304456,13,12,26.455547798868558,0.527,timeout,True,1.1255,0.0843,1.1255,0.0843,5117.7,5098.17,4.746119783049327,39.02396631776398,10066.581504542422
24,2026-03-17,15,SELL,2026-03-17 15:40:00,2026-03-17 16:00:00,5017.13,5016.87,5044.6945935899785,4975.783109615033,27.564593589978358,5,24,0.4747596191903952,0.0094,timeout,False,0.2775,0.0352,0.2775,0.0352,5044.21,5019.95,4.845935899780674,22.207016115775197,10067.056264161612
25,2026-03-19,9,SELL,2026-03-19 09:20:00,2026-03-19 09:45:00,4821.76,4773.000047864765,4854.266634756824,4773.000047864765,32.50663475682359,6,12,75.50292198121139,1.5,tp,True,1.9353,0.1335,1.9353,0.1335,4853.62,4826.8,6.4663475682406215,45.49079721136245,10142.559186142824
26,2026-03-20,15,SELL,2026-03-20 15:25:00,2026-03-20 16:00:00,4681.07,4670.28,4728.466487003045,4609.975269495432,47.39648700304497,8,24,11.544971002961663,0.2277,timeout,False,0.4078,0.034,0.4078,0.034,4727.42,4685.55,10.464870030443848,31.368476573358354,10154.104157145786
