rr_ratio,breakeven_trigger_r,max_hold_m5_bars,breakout_buffer_atr,body_pct_min,regime_adx_min,min_h1_ema_spread_atr,h1_slope_lookback,trades,win_rate,profit_factor,sharpe,sortino,max_dd_pct,total_return_pct,avg_win,avg_loss,expectancy,timeout_pct,avg_timeout_r,second_half_pf,trades_csv,verdict,score
1.5,1.2,24,0.02,0.2,24,0.15,2,39,51.28,1.994,0.081,0.07,1.22,4.06,40.77,21.53,10.42,74.36,0.1044,1.304,backtest/results/xau_m5_trades_SELL_ONLY_20241101_1700_20260409_0930.csv,APROBADO,233.62
1.5,1.2,24,0.02,0.25,24,0.2,2,38,52.63,1.983,0.08,0.067,1.21,4.01,40.46,22.67,10.56,73.68,0.1045,1.285,backtest/results/xau_m5_trades_SELL_ONLY_20241101_1700_20260409_0930.csv,APROBADO,232.3
1.5,1.2,24,0.02,0.3,24,0.2,2,38,52.63,1.983,0.08,0.067,1.21,4.01,40.46,22.67,10.56,73.68,0.1045,1.285,backtest/results/xau_m5_trades_SELL_ONLY_20241101_1700_20260409_0930.csv,APROBADO,232.3
1.5,0.8,24,0.02,0.3,20,0.15,2,47,46.81,1.959,0.095,0.088,1.21,4.24,39.4,22.12,9.03,68.09,0.1055,1.228,backtest/results/xau_m5_trades_SELL_ONLY_20241101_1700_20260409_0930.csv,APROBADO,232.03
1.5,0.8,24,0.02,0.3,20,0.2,2,46,47.83,1.959,0.093,0.084,1.21,4.24,39.4,22.12,9.23,69.57,0.1055,1.228,backtest/results/xau_m5_trades_SELL_ONLY_20241101_1700_20260409_0930.csv,APROBADO,231.93
1.5,1.2,24,0.02,0.25,24,0.15,2,39,51.28,1.979,0.081,0.07,1.22,4.0,40.46,21.52,10.26,74.36,0.1003,1.28,backtest/results/xau_m5_trades_SELL_ONLY_20241101_1700_20260409_0930.csv,APROBADO,231.62
1.5,1.2,24,0.02,0.3,24,0.15,2,39,51.28,1.979,0.081,0.07,1.22,4.0,40.46,21.52,10.26,74.36,0.1003,1.28,backtest/results/xau_m5_trades_SELL_ONLY_20241101_1700_20260409_0930.csv,APROBADO,231.62
1.4,0.8,24,0.02,0.2,24,0.15,2,39,43.59,1.99,0.072,0.062,1.21,3.52,41.63,20.92,9.03,64.1,0.0629,1.325,backtest/results/xau_m5_trades_SELL_ONLY_20241101_1700_20260409_0930.csv,RECHAZADO,228.97
1.4,0.8,24,0.02,0.2,24,0.2,2,38,44.74,1.99,0.071,0.059,1.21,3.52,41.63,20.92,9.27,65.79,0.0629,1.325,backtest/results/xau_m5_trades_SELL_ONLY_20241101_1700_20260409_0930.csv,RECHAZADO,228.95
1.5,1.0,24,0.02,0.2,24,0.2,3,37,48.65,1.953,0.072,0.06,1.08,3.72,42.3,22.94,10.04,67.57,0.0942,1.272,backtest/results/xau_m5_trades_SELL_ONLY_20241101_1800_20260409_0930.csv,APROBADO,228.84
1.5,1.0,24,0.02,0.2,24,0.15,3,38,47.37,1.949,0.073,0.063,1.09,3.71,42.3,21.71,9.76,68.42,0.0899,1.271,backtest/results/xau_m5_trades_SELL_ONLY_20241101_1800_20260409_0930.csv,APROBADO,228.2
1.4,0.8,24,0.02,0.3,20,0.15,3,46,47.83,1.916,0.09,0.084,1.05,3.9,37.11,22.43,8.48,67.39,0.1069,1.185,backtest/results/xau_m5_trades_SELL_ONLY_20241101_1800_20260409_0930.csv,APROBADO,227.51
1.4,0.8,24,0.02,0.3,20,0.2,3,45,48.89,1.916,0.088,0.08,1.05,3.9,37.11,22.43,8.67,68.89,0.1069,1.314,backtest/results/xau_m5_trades_SELL_ONLY_20241101_1800_20260409_0930.csv,APROBADO,227.39
1.25,1.2,24,0.02,0.2,24,0.2,3,37,54.05,1.935,0.071,0.059,1.05,3.64,37.72,22.93,9.85,70.27,0.0946,1.292,backtest/results/xau_m5_trades_SELL_ONLY_20241101_1800_20260409_0930.csv,APROBADO,226.87
1.4,0.8,24,0.02,0.25,24,0.15,2,39,43.59,1.973,0.072,0.062,1.21,3.46,41.27,20.92,8.87,64.1,0.0581,1.296,backtest/results/xau_m5_trades_SELL_ONLY_20241101_1700_20260409_0930.csv,RECHAZADO,226.77
1.4,0.8,24,0.02,0.3,24,0.15,2,39,43.59,1.973,0.072,0.062,1.21,3.46,41.27,20.92,8.87,64.1,0.0581,1.296,backtest/results/xau_m5_trades_SELL_ONLY_20241101_1700_20260409_0930.csv,RECHAZADO,226.77
1.4,0.8,24,0.02,0.25,24,0.2,2,38,44.74,1.973,0.071,0.059,1.21,3.46,41.27,20.92,9.1,65.79,0.0581,1.296,backtest/results/xau_m5_trades_SELL_ONLY_20241101_1700_20260409_0930.csv,RECHAZADO,226.73
1.4,0.8,24,0.02,0.3,24,0.2,2,38,44.74,1.973,0.071,0.059,1.21,3.46,41.27,20.92,9.1,65.79,0.0581,1.296,backtest/results/xau_m5_trades_SELL_ONLY_20241101_1700_20260409_0930.csv,RECHAZADO,226.73
